title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
Vauxhall Corsa,1495,88585,2008,4,Petrol,Hatchback,1.2L,Manual,3,5
Hyundai i30,949,137000,2011,,Petrol,Hatchback,1.4L,Manual,5,5
MINI Hatch,2395,96731,2010,5,Petrol,Hatchback,1.4L,Manual,3,4
Vauxhall Corsa,1000,85000,2013,,Diesel,Hatchback,1.3L,Manual,5,5
Hyundai Coupe,800,124196,2007,3,Petrol,Coupe,2.0L,Manual,3,4
Ford Focus,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5
Vauxhall Corsa,1995,90000,2009,,Petrol,Hatchback,1.2L,Manual,3,5
Volvo 740,750,225318,1989,,Petrol,Estate,2.3L,Automatic,5,
Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5
Ford Fiesta,1495,181693,2009,,Diesel,Hatchback,1.6L,Manual,3,5
Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5
SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Citroen C1,1100,164985,2008,,Petrol,Hatchback,1.0L,Manual,3,4
Vauxhall Corsa,1295,109000,2007,,Petrol,Hatchback,1.4L,Manual,5,5
Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5
Citroen C4,1289,135000,2010,,Diesel,Hatchback,1.6L,Manual,5,5
Vauxhall Astra,1200,134000,2004,5,Petrol,Hatchback,1.8L,Automatic,5,5
Citroen C4,1949,114000,2013,,Diesel,Hatchback,1.6L,Manual,5,5
Ford Mondeo,1195,101000,2010,3,Diesel,Hatchback,1.8L,Manual,5,5
Mercedes-Benz A180,14498,53055,2019,,Petrol,Hatchback,1.3L,Manual,5,5
Peugeot 407,1995,89000,2007,,Petrol,Coupe,3.0L,Automatic,2,4
Ford KA,990,69000,2003,3,Petrol,Hatchback,1.3L,Manual,3,4
Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Ford Focus,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5
Citroen C4,3399,55000,2011,2,Petrol,Hatchback,1.6L,Manual,5,5
SKODA Fabia,1990,150000,2007,2,Diesel,Hatchback,1.9L,Manual,5,5
Ford Focus,1200,95000,2009,3,Diesel,Hatchback,1.8L,Manual,5,5
Mazda Mazda2,1490,135800,2008,3,Petrol,Hatchback,1.3L,Manual,5,5
Saab 9-3,2250,98000,2006,,Petrol,Convertible,2.0L,Automatic,2,4
Volkswagen Polo,2800,106305,2011,4,Petrol,Hatchback,1.2L,Manual,5,5
BMW 1 Series,2490,86000,2011,3,Petrol,Coupe,2.0L,Manual,2,4
Vauxhall Corsa,1695,75786,2008,3,Petrol,Hatchback,1.4L,Manual,3,5
Vauxhall Corsa,1795,99905,2010,5,Petrol,Hatchback,1.4L,Manual,5,5
Vauxhall Astra,2500,95000,2011,,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Corsa,1795,63796,2008,,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Astra,1250,178000,2007,4,Petrol,Hatchback,1.8L,Automatic,5,5
Vauxhall Corsa,988,113218,2005,,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Astra,1995,88000,2008,,Petrol,Hatchback,1.8L,Manual,5,5
Vauxhall Corsa,1999,122000,2009,3,Petrol,Hatchback,1.4L,Automatic,5,5
BMW 3 Series,1449,57000,1999,,Petrol,Saloon,1.9L,Automatic,4,5
Ford Focus,1290,119000,2002,4,Petrol,Hatchback,1.6L,Automatic,5,5
Volkswagen Polo,1449,111400,2008,4,Petrol,Hatchback,1.2L,Manual,5,5
Vauxhall Corsa,3295,94000,2014,,Petrol,Hatchback,1.4L,Manual,3,5
Honda Accord,1400,155085,2004,2,Petrol,Estate,2.4L,Manual,5,5
Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5
Vauxhall Corsa,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Ford Focus,2249,99000,2009,,Petrol,Hatchback,1.8L,Manual,5,5
Ford Focus,1390,127000,2008,,Petrol,Hatchback,1.6L,Manual,5,5
Ford Focus,1795,104020,2010,4,Petrol,Hatchback,1.8L,Manual,5,5
Peugeot 207,1699,92000,2009,3,Petrol,Hatchback,1.4L,Manual,5,5
Ford Fiesta,999,99000,2004,,Petrol,Hatchback,1.4L,Manual,3,5
Volkswagen Beetle,700,101000,2003,5,Petrol,Convertible,2.0L,Manual,2,4
Vauxhall Astra,3250,100312,2013,3,Petrol,Hatchback,1.4L,Manual,5,5
MG MG6,3245,55000,2012,,Petrol,Hatchback,1.8L,Manual,5,5
Ford C-max,1250,135000,2008,5,Petrol,MPV,2.0L,Automatic,5,5
Honda Civic,1900,132000,2008,6,Petrol,Hatchback,1.8L,Automatic,5,5
Volkswagen Polo,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4
BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5
Honda Civic,1000,160000,2008,5,Diesel,Hatchback,2.2L,Manual,3,5
Citroen C1,1490,65500,2008,3,Petrol,Hatchback,1.0L,Manual,3,4
Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5
Toyota Auris,1695,115000,2007,6,Petrol,Hatchback,1.4L,Manual,3,5
Hyundai i30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5
Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5
Honda Civic,1389,68000,2002,,Petrol,Hatchback,1.4L,Manual,5,5
Ford Focus,4490,84000,2013,,Petrol,Hatchback,1.0L,Manual,5,5
Honda Civic,990,113000,2004,,Petrol,Hatchback,1.6L,Manual,5,5
Volvo S40,2849,101000,2009,4,Petrol,Saloon,1.6L,Manual,4,5
SEAT Ibiza,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5
Peugeot 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5
Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5
Ford Mondeo,1990,84815,2003,5,Petrol,Hatchback,3.0L,Manual,5,5
Volkswagen Polo,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5
Vauxhall Meriva,1600,78521,2011,2,Diesel,MPV,1.3L,Manual,5,5
Mercedes-Benz B Class,2650,85000,2008,,Petrol,MPV,1.5L,Manual,5,5
